	uri	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	Average_salary_all_ranks	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	FICE	College_name	State	label_salary	label_comp	label	corr_feat
0	http://dbpedia.org/resource/Abilene_Christian_University	424.0	375.0	339.0	376.0	555.0	491.0	418.0	494.0	68.0	42.0	36.0	14.0	160.0	3537.0	Abilene Christian University	TX	medium	medium	IIA	I
1	http://dbpedia.org/resource/Adams_State_College	436.0	356.0	321.0	360.0	527.0	444.0	400.0	444.0	29.0	21.0	40.0	8.0	98.0	1345.0	Adams State College	CO	medium	low	IIA	IIA
2	http://dbpedia.org/resource/Adrian_College	439.0	365.0	316.0	386.0	559.0	466.0	407.0	493.0	37.0	8.0	14.0	7.0	66.0	2234.0	Adrian College	MI	medium	medium	IIB	IIB
3	http://dbpedia.org/resource/Agnes_Scott_College	527.0	421.0	356.0	426.0	651.0	528.0	441.0	528.0	19.0	24.0	19.0	4.0	66.0	1542.0	Agnes Scott College	GA	medium	medium	IIB	IIA
4	http://dbpedia.org/resource/Alaska_Pacific_University	454.0	382.0	362.0	382.0	567.0	485.0	471.0	487.0	6.0	11.0	9.0	4.0	32.0	1061.0	Alaska Pacific University	AK	medium	medium	IIB	IIA
5	http://dbpedia.org/resource/Albany_State_University	444.0	395.0	335.0	371.0	578.0	519.0	437.0	484.0	38.0	24.0	68.0	8.0	138.0	1544.0	Albany State College	GA	medium	medium	IIB	IIB
6	http://dbpedia.org/resource/Albertus_Magnus_College	391.0	343.0		340.0	444.0	400.0		393.0	9.0	7.0	5.0	3.0	24.0	1374.0	Albertus Magnus College	CT	low	low	IIB	I
7	http://dbpedia.org/resource/Albion_College	562.0	443.0	346.0	462.0	716.0	573.0	437.0	589.0	47.0	27.0	33.0	2.0	109.0	2235.0	Albion College	MI	medium	medium	IIB	IIA
8	http://dbpedia.org/resource/Albright_College	488.0	396.0	359.0	430.0	648.0	514.0	451.0	562.0	39.0	21.0	15.0	3.0	79.0	3229.0	Albright College	PA	medium	medium	IIB	IIB
9	http://dbpedia.org/resource/Alcorn_State_University	419.0	371.0	326.0	320.0	534.0	473.0	414.0	406.0	25.0	35.0	35.0	73.0	168.0	2396.0	Alcorn State University	MS	low	low	IIB	
10	http://dbpedia.org/resource/Alderson%E2%80%93Broaddus_College	385.0	315.0	272.0	299.0	507.0	402.0	349.0	386.0	9.0	18.0	25.0	11.0	63.0	3806.0	Alderson Broaddus College	WV	low	low	IIB	IIB
11	http://dbpedia.org/resource/Alfred_University	520.0	427.0	367.0	439.0	641.0	538.0	467.0	548.0	46.0	25.0	36.0	6.0	113.0	2668.0	Alfred University	NY	medium	medium	IIA	IIB
12	http://dbpedia.org/resource/Allegheny_College	576.0	414.0	332.0	415.0	744.0	537.0	418.0	532.0	36.0	46.0	54.0	8.0	144.0	3230.0	Allegheny College	PA	medium	medium	IIB	IIB
13	http://dbpedia.org/resource/Alma_College	523.0	408.0	335.0	422.0	645.0	515.0	423.0	527.0	25.0	27.0	21.0	2.0	75.0	2236.0	Alma College	MI	medium	medium	IIB	IIB
14	http://dbpedia.org/resource/Alvernia_University	402.0	315.0	295.0	303.0	506.0	370.0	347.0	361.0	7.0	12.0	30.0	11.0	60.0	3233.0	Alvernia College	PA	low	low	IIB	IIA
15	http://dbpedia.org/resource/Alverno_College	438.0	352.0	282.0	314.0	511.0	411.0	332.0	368.0	9.0	31.0	74.0	0.0	114.0	3832.0	Alverno College	WI	low	low	IIB	IIB
16	http://dbpedia.org/resource/American_University	746.0	520.0	417.0	555.0	897.0	641.0	505.0	673.0	165.0	119.0	125.0	37.0	446.0	1434.0	American University	DC	high	high	I	IIA
17	http://dbpedia.org/resource/Amherst_College	726.0	516.0	425.0	610.0	917.0	661.0	546.0	774.0	87.0	23.0	43.0	0.0	153.0	2115.0	Amherst College	MA	high	high	IIB	IIA
18	http://dbpedia.org/resource/Anderson_University_(Indiana)	415.0	340.0	316.0	347.0	532.0	427.0	389.0	437.0	43.0	45.0	36.0	14.0	138.0	1785.0	Anderson University	IN	low	low	IIB	I
19	http://dbpedia.org/resource/Angelo_State_University	485.0	425.0	369.0	398.0	618.0	549.0	484.0	517.0	68.0	27.0	40.0	45.0	180.0	3541.0	Angelo State University	TX	medium	medium	IIB	IIB
20	http://dbpedia.org/resource/Anna_Maria_College	407.0	364.0	318.0	341.0	499.0	470.0	377.0	416.0	6.0	9.0	14.0	4.0	33.0	2117.0	Anna Maria College	MA	low	low	IIB	IIA
21	http://dbpedia.org/resource/Antioch_University	441.0	348.0	300.0	316.0	571.0	457.0	398.0	418.0	30.0	15.0	17.0	3.0	162.0	8795.0	Antioch University	OH	low	low	IIA	
22	http://dbpedia.org/resource/Appalachian_State_University	491.0	413.0	366.0	424.0	598.0	505.0	448.0	518.0	249.0	117.0	113.0	19.0	545.0	2906.0	Appalachian State University	NC	medium	medium	IIA	IIA
23	http://dbpedia.org/resource/Aquinas_College,_Perth	387.0	313.0	275.0	319.0	491.0	376.0	331.0	392.0	27.0	32.0	27.0	4.0	90.0	2239.0	Aquinas College	MI	low	low	IIB	I
24	http://dbpedia.org/resource/Arcadia_University	496.0	405.0	353.0	381.0	652.0	532.0	462.0	500.0	12.0	20.0	32.0	2.0	68.0	3235.0	Beaver College	PA	medium	medium	IIA	
25	http://dbpedia.org/resource/Arizona_State_University	603.0	449.0	399.0	489.0	723.0	549.0	489.0	593.0	576.0	445.0	251.0	7.0	1383.0	1081.0	Arizona State University	AZ	medium	medium	I	IIA
26	http://dbpedia.org/resource/Arkansas_State_University	520.0	433.0	342.0	398.0	646.0	541.0	431.0	498.0	103.0	87.0	141.0	63.0	394.0	1090.0	Arkansas State University	AR	medium	medium	IIA	IIB
27	http://dbpedia.org/resource/Arkansas_Tech_University	439.0	381.0	337.0	374.0	550.0	479.0	427.0	471.0	44.0	71.0	52.0	13.0	180.0	1089.0	Arkansas Tech University	AR	medium	medium	IIB	I
28	http://dbpedia.org/resource/Art_Academy_of_Cincinnati		286.0		304.0		354.0		371.0	5.0	6.0	5.0	1.0	17.0	3011.0	Art Academy of Cincinnati	OH	low	low	IIB	IIB
29	http://dbpedia.org/resource/Ashford_University				302.0				373.0	0.0	0.0	0.0	0.0	18.0	1881.0	Mount St. Clare College	IA	low	low	IIA	IIA
30	http://dbpedia.org/resource/Ashland_University	484.0	418.0	329.0	398.0	624.0	530.0	437.0	515.0	52.0	58.0	58.0	4.0	179.0	3012.0	Ashland University	OH	medium	medium	IIB	IIB
31	http://dbpedia.org/resource/Assumption_College	479.0	400.0	325.0	385.0	610.0	518.0	413.0	492.0	22.0	42.0	40.0	3.0	107.0	2118.0	Assumption College	MA	medium	medium	IIB	IIB
32	http://dbpedia.org/resource/Athens_State_University	466.0	394.0	351.0	396.0	558.0	476.0	427.0	478.0	20.0	18.0	30.0	0.0	68.0	1008.0	Athens State College	AL	medium	medium	IIB	IIB
33	http://dbpedia.org/resource/Auburn_Montgomery	519.0	422.0	343.0	403.0	621.0	507.0	411.0	483.0	56.0	54.0	63.0	28.0	201.0	8310.0	Auburn University at Montgomery	AL	medium	medium	IIA	IIB
34	http://dbpedia.org/resource/Auburn_University	580.0	437.0	374.0	455.0	692.0	527.0	451.0	546.0	366.0	354.0	301.0	66.0	1109.0	1009.0	Auburn University	AL	medium	medium	I	I
35	http://dbpedia.org/resource/Augsburg_College	432.0	356.0	314.0	357.0	559.0	449.0	387.0	450.0	35.0	29.0	58.0	1.0	123.0	2334.0	Augsburg College	MN	medium	medium	IIB	I
36	http://dbpedia.org/resource/Augusta_State_University	503.0	409.0	336.0	383.0	645.0	520.0	431.0	489.0	40.0	43.0	79.0	21.0	183.0	1552.0	Augusta College	GA	medium	medium	IIA	IIB
37	http://dbpedia.org/resource/Augustana_College_(Illinois)	480.5	403.5	342.0	391.0	612.0	521.0	439.0	502.0	37.5	25.0	47.5	12.5	122.5	1633.0	Augustana College	IL	medium	medium	IIB	IIB
38	http://dbpedia.org/resource/Aurora_University	434.0	379.0	339.0	372.0	528.0	461.0	402.0	447.0	18.0	16.0	19.0	16.0	69.0	1634.0	Aurora University	IL	medium	medium	IIB	IIB
39	http://dbpedia.org/resource/Austin_College	508.0	394.0	320.0	418.0	629.0	500.0	390.0	518.0	37.0	20.0	23.0	4.0	84.0	3543.0	Austin College	TX	medium	medium	IIB	I
40	http://dbpedia.org/resource/Austin_Peay_State_University	482.0	362.0	314.0	374.0	581.0	445.0	390.0	458.0	86.0	47.0	102.0	17.0	252.0	3478.0	Austin Peay State University	TN	medium	medium	IIA	I
41	http://dbpedia.org/resource/Averett_University	372.0	319.0	281.0	328.0	454.0	395.0	342.0	400.0	19.0	15.0	11.0	3.0	48.0	3702.0	Averett College	VA	low	low	IIB	IIB
42	http://dbpedia.org/resource/Avila_College	379.0	340.0	295.0	317.0	459.0	404.0	349.0	377.0	10.0	13.0	17.0	12.0	52.0	2449.0	Avila College	MO	low	low	IIB	IIB
43	http://dbpedia.org/resource/Azusa_Pacific_University	430.0	375.0	318.0	368.0	573.0	494.0	428.0	488.0	43.0	62.0	32.0	12.0	156.0	1117.0	Azusa Pacific University	CA	medium	medium	IIA	I
44	http://dbpedia.org/resource/Babson_College	787.0	613.0	557.0	633.0	975.0	769.0	700.0	790.0	31.0	45.0	31.0	3.0	119.0	2121.0	Babson College	MA	high	high	IIB	IIB
45	http://dbpedia.org/resource/Baker_University	369.0	318.0	288.0	327.0	443.0	396.0	346.0	397.0	18.0	18.0	16.0	0.0	52.0	1903.0	Baker University	KS	low	low	IIB	
46	http://dbpedia.org/resource/Baldwin%E2%80%93Wallace_College	530.0	431.0	360.0	464.0	662.0	552.0	464.0	587.0	74.0	39.0	35.0	0.0	148.0	3014.0	Baldwin-Wallace College	OH	medium	medium	IIB	IIB
47	http://dbpedia.org/resource/Ball_State_University	517.0	410.0	332.0	384.0	666.0	537.0	438.0	501.0	297.0	160.0	350.0	155.0	965.0	1786.0	Ball State University	IN	medium	medium	I	I
